Year,Team,Conf,Round,Wins,Conf Tourney,Region,Seed,WinStreak,Last10,WinStreak_Avg,WinStreak_SD
2011,Cincinnati,Big East,2,25,0,East,6,0,7,4.151515151515151,4.626152351912306
2011,Missouri,Big 12,1,23,0,East,11,0,5,2.303030303030303,2.480039692801227
2011,Connecticut,Big East,7,26,1,East,3,5,6,2.7714285714285714,2.7783418928327355
2011,Bucknell,Patriot,1,25,1,East,14,10,10,3.393939393939394,3.1231238628965023
2011,Temple,A-10,2,25,0,East,7,0,8,2.4375,2.207055447876197
2011,Penn State,Big Ten,1,19,0,East,10,0,7,1.0606060606060606,1.1790955429299224
2011,San Diego State,MWC,3,32,1,East,2,5,9,7.4411764705882355,5.897113832807827
2011,Northern Colorado,Big Sky,1,21,1,East,15,7,9,2.193548387096774,2.2349042678308098
2011,Pittsburgh,Big East,2,27,0,Midwest,1,0,7,3.71875,3.002440413646872
2011,North Carolina Asheville,Big South,1,20,1,Midwest,16,6,7,1.21875,1.5152222403000821
2011,Butler,Horizon,6,23,1,Midwest,8,9,9,2.4375,2.5487435630129602
2011,Old Dominion,CAA,1,27,1,Midwest,9,9,9,2.696969696969697,2.328803158404952
2011,Kansas State,Big 12,2,22,0,Midwest,5,0,8,1.78125,1.7272517006794348
2011,Utah State,WAC,1,30,1,Midwest,12,8,9,6.0606060606060606,4.947845530154139
2011,Wisconsin,Big Ten,3,23,0,Midwest,4,0,7,1.967741935483871,1.8401239608969884
2011,Belmont,A-Sun,1,30,1,Midwest,13,12,10,4.352941176470588,3.3244402708105394
2011,St Johns Ny,Big East,1,21,0,Midwest,6,0,8,1.8125,1.8275239396516807
2011,Gonzaga,WCC,2,24,1,Midwest,11,9,9,3.0,2.9541957835039856
2011,Brigham Young,MWC,3,30,0,Midwest,3,0,8,4.235294117647059,3.0395319253561914
2011,Wofford,Southern,1,21,1,Midwest,14,8,9,1.7272727272727273,2.1358800226310417
2011,Ucla,Pac-10,2,22,0,Midwest,7,0,7,1.9375,1.869784412706449
2011,Michigan State,Big Ten,1,19,0,Midwest,10,0,6,0.8484848484848485,0.8570991287109666
2011,Florida,SEC,4,26,0,Midwest,2,0,8,2.090909090909091,1.658104729733873
2011,California Santa Barbara,Big West,1,18,1,Midwest,15,4,6,0.967741935483871,1.0620695247196341
2011,Kansas,Big 12,4,32,1,South,1,8,9,6.705882352941177,5.073167079985962
2011,Boston University,AEC,1,21,1,South,16,11,10,2.3529411764705883,3.1704736419322033
2011,Nevada Las Vegas,MWC,1,24,0,South,8,0,7,2.53125,2.5122745545620604
2011,Illinois,Big Ten,2,19,0,South,9,0,4,1.4375,1.8360538526960477
2011,Vanderbilt,SEC,1,23,0,South,5,0,6,1.6363636363636365,1.5338243314962137
2011,Richmond,A-10,3,27,1,South,12,7,9,2.0294117647058822,1.7402720226455313
2011,Louisville,Big East,1,25,0,South,4,0,7,1.9411764705882353,2.042794747551216
