Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Year
Houston,Amer,26,115.8,95.2,68.2,-0.009,106.7,103.3,2018
Kentucky,SEC,24,116.4,96.0,68.6,-0.001,111.1,99.9,2018
Clemson,ACC,23,113.8,93.5,65.6,0.004,110.9,101.1,2018
Wichita St.,Amer,25,121.9,101.9,68.6,-0.015,107.9,102.3,2018
Arizona,P12,27,119.0,99.6,67.3,0.025,108.9,102.6,2018
TCU,B12,21,120.6,101.7,68.7,-0.058,111.5,101.6,2018
Florida,SEC,20,115.1,96.4,66.8,-0.049,110.7,100.0,2018
Nevada,MWC,27,119.9,101.7,69.5,-0.028,107.3,102.9,2018
Butler,BE,20,115.8,97.9,67.8,-0.037,111.9,101.3,2018
Seton Hall,BE,21,116.3,99.0,69.3,-0.02,110.4,100.9,2018
Creighton,BE,21,116.5,99.2,70.8,-0.018,111.1,101.9,2018
Texas A&M;,SEC,20,111.2,94.3,69.0,-0.007,112.1,100.8,2018
Virginia Tech,ACC,21,115.0,98.4,68.7,-0.003,109.9,101.7,2018
Florida St.,ACC,20,115.8,100.0,71.6,-0.032,109.2,101.2,2018
Miami FL,ACC,22,113.3,97.6,67.1,0.034,109.6,101.4,2018
Arkansas,SEC,23,117.3,101.7,69.7,0.062,111.0,100.9,2018
Missouri,SEC,20,113.3,97.8,65.6,-0.021,110.1,100.5,2018
Texas,B12,19,109.4,93.9,65.2,-0.018,111.7,99.9,2018
