,importance,n,p99_high,p99_low,p_value,stddev
E8_Hgt4_Avg,0.00017708333333338693,5.0,0.001211897531514321,-0.0008577308648475471,0.40154087468049265,0.0005025775870910561
AdjOE,0.00017206101190479677,5.0,0.003097117553571149,-0.002752995529761555,0.4530968039197896,0.0014206104452371918
E8_OR4_Avg,0.0001702008928571678,5.0,0.0010213849466318072,-0.0006809831609174716,0.32997361866180824,0.00041339404568320877
R32_Pts3_Avg,0.00015959821428576472,5.0,0.0010154704876163868,-0.0006962740590448576,0.36820450956552836,0.00041567097044549055
Hgt1Rank,0.00015345982142860317,5.0,0.00050872221668468,-0.00020180257382747374,0.20726461905296664,0.00017254007309316975
R32_DR5Rank_Avg,0.00015345982142856614,5.0,0.0012457192712024298,-0.0009387996283452975,0.49678526229254816,0.000530476987762369
R32_RankOff_2_Avg,0.00015271577380953085,5.0,0.0020126460495902897,-0.001707214501971228,0.48773365884818026,0.0009033112145181995
Hgt4Rank_Seed_Avg,0.00015011160714291092,5.0,0.0018730064326817977,-0.0015727832183959761,0.3344877509292001,0.0008367572901039787
R32_OR5Rank_Avg,0.00014862351190480329,5.0,0.001684359742026617,-0.0013871127182170106,0.3699326564954015,0.000745860088023246
E8_DR5_Avg,0.00014415922619052482,5.0,0.0010687830083568855,-0.000780464555975836,0.4208934341527954,0.0004490614742482741
R32_RankOE_Avg,0.00014062500000004233,5.0,0.001103976678722157,-0.0008227266787220725,0.45880633327559583,0.00046787042839513214
R32_DR2Rank_Avg,0.000135974702380981,5.0,0.0006770963492109057,-0.0004051469444489437,0.3595014603960158,0.00026280622363375385
OE_Seed_Avg,0.00013485863095240213,5.0,0.0011428347660778196,-0.0008731175041730152,0.500369833729334,0.0004895431612044094
HgtEff_Seed_Avg,0.0001302083333333407,5.0,0.0005822176314996638,-0.0003218009648329823,0.47267143210377544,0.00021952708304011156
R32_DR4Rank_Avg,0.00012797619047621997,5.0,0.0011516520358460973,-0.0008956996548936573,0.3153093404425502,0.0004971680300036195
S16_Pts4_Avg,0.00012034970238098779,5.0,0.0005241502734785454,-0.00028345086871656985,0.5730275693093363,0.00019611357965994717
OR1Rank,0.00011960565476193027,5.0,0.0012265387077651207,-0.0009873273982412601,0.36436045156771496,0.0005376035077868239
S16_Hgt1Rank_Avg,0.00011811755952384484,5.0,0.000733661409626477,-0.0004974262905787874,0.3902744939499292,0.00029895081018131654
R32_Exp_Avg,0.00011476934523814524,5.0,0.0013187922061232901,-0.0010892535156469998,0.39579896204763093,0.0005847570561844224
S16_OR3_Avg,0.0001116071428571693,5.0,0.000850034396515593,-0.0006268201108012545,0.3517692222296876,0.000358631518622667
E8_OR3_Avg,0.00010751488095240478,5.0,0.0006158331750616483,-0.0004008034131568387,0.4014124346903572,0.0002468746391156467
E8_RankOE_Avg,0.00010267857142859751,5.0,0.0008147045931941197,-0.0006093474503369246,0.3648472924718347,0.00034580924826312765
