Feature,Importance,SHAP
Off_1,0.0016171687827682688,0.00018110908131244963
S16_SizeRank_Avg,0.0016163294874640473,-1.1510759205944502e-06
R32_Pts1Rank_Avg,0.001610400565633765,-5.119170727551495e-06
F4_OR2_Avg,0.0016074936208801175,5.917283544168026e-06
AdjEM,0.0015950487009742395,-1.3814163697033406e-06
F4_Pts3_Avg,0.0015910782811347727,-1.4063482935431881e-05
DR4Rank,0.0015798713267643283,9.09594633987304e-06
S16_Pts4Rank_Avg,0.0015642502980154239,-2.744189621599892e-06
OR3Rank,0.0015632384567964945,-2.7397006445945708e-05
F4_RankAdjTempo_Avg,0.0015551825096843709,-4.293149529179936e-06
NCG_Pts3Rank_Avg,0.001550911836748222,-1.041097529896654e-05
Winner_DR2Rank_Avg,0.0015414912219583997,-2.0183221885220745e-06
S16_Off_3_Avg,0.0015408853362074296,-8.441103389600894e-06
Wins,0.0015385685460450908,-5.174412954901603e-05
OR1Rank,0.0015328552725821162,-2.6189861281748262e-05
S16_OR4Rank_Avg,0.0015199088635215454,-2.303171403696848e-06
OR4Rank,0.0015147739253276041,4.3936003957695985e-06
NCG_Pts4_Avg,0.0015095639215783334,-3.3401394486420543e-06
R32_RankOff_1_Avg,0.0015020671020889121,-3.274433351452887e-06
F4_Def_1_Avg,0.001501508540634427,-1.5575374283597495e-05
NCG_Pts3_Avg,0.0015001229339886325,-1.022294464628414e-05
S16_Hgt5_Avg,0.0014903712652871476,6.2751052290748045e-06
NCG_AdjTempo_Avg,0.0014884218974868656,3.093175178905446e-06
NCG_OR5Rank_Avg,0.001475487904296698,-1.1406554089228474e-06
S16_OR3Rank_Avg,0.0014699796137838538,9.466612058138588e-07
RankOff_1_Seed_Avg,0.0014676221203283166,6.914778792054054e-06
Conf_Horizon,0.0014618864344392178,3.926327440808561e-05
E8_HgtEffRank_Avg,0.0014580495811886197,-2.0531693446302123e-08
F4_DR5Rank_Avg,0.0014514187127387123,-1.8420952469099618e-06
RankDef_3,0.0014468843121032628,-1.7710231273521514e-05
AdjOE,0.0014402084957738238,5.9920030686676963e-05
NCG_Hgt1_Avg,0.0014385681647027344,6.091111606230257e-06
E8_RankOff_3_Avg,0.001436041036120099,-5.849558448245545e-06
R32_RankOff_3_Avg,0.0014355879064810674,4.071433882930381e-06
S16_OR4_Avg,0.0014324772582983679,-1.9886268452807298e-06
Conf_Summit,0.001423985197860304,-8.959297733568414e-06
E8_Pts3_Avg,0.0014227954790253625,-1.0787954757857435e-05
E8_Pts1Rank_Avg,0.0014157172926769184,-4.498656654556496e-06
NCG_AdjEM_Avg,0.0014154606701467548,-2.3986774854290065e-06
NCG_AdjOE_Avg,0.0014110028695853457,-6.428656723504628e-06
S16_BenchRank_Avg,0.0014066119339318198,3.386501283431802e-06
S16_Off_1_Avg,0.0014059429434562197,5.7264950511239e-07
NCG_Hgt3_Avg,0.0014029866264963057,4.483994319230407e-06
F4_Off_3_Avg,0.001400985324711559,-1.2865386559949548e-05
F4_RankAdjDE_Avg,0.0013907492781766657,3.182827811460692e-07
NCG_Hgt2_Avg,0.0013715168986573947,4.113562278388835e-06
Winner_OR4_Avg,0.001366289016751009,-8.504101337537556e-07
Conf_OVC,0.0013635252458427613,-2.781589292180087e-05
Hgt1Rank_Seed_Avg,0.0013561308727399637,-2.074796063037875e-06
RankAdjTempo,0.0013543733417019567,-2.5459897333154008e-05
R32_Pts3Rank_Avg,0.001340521829788493,-1.2049410137917958e-05
NCG_Pts2Rank_Avg,0.0013289165595248111,-1.1740750094500308e-05
R32_Actual_12,0.0013255390609884536,1.627136277788028e-05
Last10,0.001324999162800848,-4.571095862602885e-06
S16_OR5Rank_Avg,0.0013229304375206447,-3.7001169360514348e-06
E8_Pts3Rank_Avg,0.0013207015990565976,-8.142557971775733e-06
Pts4Rank,0.0013202904846915421,-1.6237221832916003e-05
OR2_Seed_Avg,0.001310249755953365,5.903643573723247e-06
S16_RankDE_Avg,0.001308994478714222,-2.6044432552193255e-06
