model,fit_order,fit_time,fit_time_marginal,pred_time_test,pred_time_test_marginal,pred_time_val,pred_time_val_marginal,roc_auc,score_test,score_val,stack_level,log_loss_score,roc_auc_score
NeuralNetTorch_r86_Prune,26.0,0.4768311182657878,0.4768311182657878,0.006128072738647461,0.006128072738647461,0.0050353209177653,0.0050353209177653,0.6719054238785332,-0.5671222319360665,-0.5671222319360665,1.0,-0.5671222319360665,0.6719054238785332
CatBoost_r163_Prune,78.0,0.7635205586751302,0.7635205586751302,0.0025870800018310547,0.0025870800018310547,0.001848141352335612,0.001848141352335612,0.7065988218096266,-0.5677792764092592,-0.5677792764092592,1.0,-0.5677792764092592,0.7065988218096266
CatBoost_r50_Prune,27.0,0.9941097100575765,0.9941097100575765,0.002715508143107096,0.002715508143107096,0.001996914545694987,0.001996914545694987,0.7066918066771944,-0.5709784848455269,-0.5709784848455269,1.0,-0.5709784848455269,0.7066918066771944
CatBoost_r49_Prune,43.0,0.6817177136739095,0.6817177136739095,0.0025275548299153647,0.0025275548299153647,0.0018172264099121094,0.0018172264099121094,0.7040798258381167,-0.5710485697841872,-0.5710485697841872,1.0,-0.5710485697841872,0.7040798258381166
NeuralNetTorch_r121_Prune,72.0,0.9188599586486816,0.9188599586486816,0.007740179697672526,0.007740179697672526,0.005398352940877278,0.005398352940877278,0.6846148807883411,-0.5721807342465812,-0.5721807342465812,1.0,-0.5721807342465812,0.6846148807883411
CatBoost_r69_Prune,30.0,0.8926426569620768,0.8926426569620768,0.0030847390492757163,0.0030847390492757163,0.0017910003662109375,0.0017910003662109375,0.6927356905839149,-0.5723673949825958,-0.5723673949825958,1.0,-0.5723673949825958,0.6927356905839149
XGBoost_r49_Prune,54.0,0.9125759601593018,0.9125759601593018,0.005763610204060872,0.005763610204060872,0.0025333563486735025,0.0025333563486735025,0.6916141120346796,-0.572674885625128,-0.572674885625128,1.0,-0.572674885625128,0.6916141120346796
LightGBM_r94_Prune,48.0,1.0227290789286296,1.0227290789286296,0.004520416259765625,0.004520416259765625,0.002064943313598633,0.002064943313598633,0.7126924496066106,-0.5735143455719721,-0.5735143455719721,1.0,-0.5735143455719721,0.7126924496066106
NeuralNetTorch_r22_Prune,16.0,0.8249145348866781,0.8249145348866781,0.007937351862589518,0.007937351862589518,0.005460421244303386,0.005460421244303386,0.6797122237981684,-0.573734115153262,-0.573734115153262,1.0,-0.573734115153262,0.6797122237981684
LightGBM_r96_Prune,15.0,1.8004910151163738,1.8004910151163738,0.008043130238850912,0.008043130238850912,0.0035712718963623047,0.0035712718963623047,0.708443156695553,-0.5741131499180018,-0.5741131499180018,1.0,-0.5741131499180018,0.708443156695553
CatBoost_r137_Prune,19.0,0.832472006479899,0.832472006479899,0.0035684903462727866,0.0035684903462727866,0.0017937819163004558,0.0017937819163004558,0.6966067256104845,-0.5741958905995608,-0.5741958905995608,1.0,-0.5741958905995608,0.6966067256104845
LightGBM_r131_Prune,13.0,2.3412769635518393,2.3412769635518393,0.0041802724202473955,0.0041802724202473955,0.0021573702494303384,0.0021573702494303384,0.6822768591403895,-0.5748091410842622,-0.5748091410842622,1.0,-0.5748091410842621,0.6822768591403895
CatBoost_r5_Prune,55.0,0.7619628111521403,0.7619628111521403,0.002559105555216471,0.002559105555216471,0.0018180211385091145,0.0018180211385091145,0.6963752588310568,-0.5769011067751234,-0.5769011067751234,1.0,-0.5769011067751233,0.6963752588310569
XGBoost_r22_Prune,66.0,0.6129148006439209,0.6129148006439209,0.005072355270385742,0.005072355270385742,0.0024340947469075522,0.0024340947469075522,0.6903022152284097,-0.5776770770138295,-0.5776770770138295,1.0,-0.5776770770138295,0.6903022152284097
NeuralNetTorch_r41_Prune,37.0,0.7665896415710449,0.7665896415710449,0.0072557926177978516,0.0072557926177978516,0.004804293314615886,0.004804293314615886,0.6533598554480602,-0.5778919166045625,-0.5778919166045625,1.0,-0.5778919166045625,0.6533598554480602
XGBoost_r89_Prune,23.0,0.5514736970265707,0.5514736970265707,0.005541880925496419,0.005541880925496419,0.002457698186238607,0.002457698186238607,0.6912592104750049,-0.5779061926525763,-0.5779061926525763,1.0,-0.5779061926525763,0.6912592104750049
NeuralNetTorch_r31_Prune,51.0,0.4525609811147054,0.4525609811147054,0.006165663401285808,0.006165663401285808,0.0048894087473551435,0.0048894087473551435,0.6697036071140988,-0.5784442146856815,-0.5784442146856815,1.0,-0.5784442146856815,0.6697036071140988
NeuralNetTorch_r185_Prune,62.0,0.8891890048980713,0.8891890048980713,0.007726033528645833,0.007726033528645833,0.005137523015340169,0.005137523015340169,0.6641628673236522,-0.5789026200678761,-0.5789026200678761,1.0,-0.5789026200678761,0.664162867323652
LightGBM_r130_Prune,25.0,0.591333786646525,0.591333786646525,0.0022351741790771484,0.0022351741790771484,0.001539309819539388,0.001539309819539388,0.696394174063491,-0.5804893143739741,-0.5804893143739741,1.0,-0.5804893143739741,0.696394174063491
CatBoost_r6_Prune,67.0,0.861474355061849,0.861474355061849,0.002536932627360026,0.002536932627360026,0.0018479029337565105,0.0018479029337565105,0.6990683915786559,-0.582078480432053,-0.582078480432053,1.0,-0.582078480432053,0.6990683915786559
XGBoost_r95_Prune,81.0,0.6184789339701334,0.6184789339701334,0.004721879959106445,0.004721879959106445,0.002433617909749349,0.002433617909749349,0.6870153949931236,-0.5834291400457886,-0.5834291400457886,1.0,-0.5834291400457886,0.6870153949931236
XGBoost_r31_Prune,61.0,1.1303904056549072,1.1303904056549072,0.00808103879292806,0.00808103879292806,0.0027314027150472007,0.0027314027150472007,0.6943679266408074,-0.5836359460059873,-0.5836359460059873,1.0,-0.5836359460059872,0.6943679266408074
NeuralNetTorch_r79_Prune,12.0,0.9236048062642416,0.9236048062642416,0.007180372873942058,0.007180372873942058,0.005466938018798828,0.005466938018798828,0.6617930621678085,-0.5836907369783706,-0.5836907369783706,1.0,-0.5836907369783706,0.6617930621678085
LightGBM_r143_Prune,45.0,1.7812120119730632,1.7812120119730632,0.004789908727010091,0.004789908727010091,0.0021125475565592446,0.0021125475565592446,0.6806037002814752,-0.5855600054118638,-0.5855600054118638,1.0,-0.5855600054118638,0.6806037002814752
NeuralNetTorch_r158_Prune,40.0,1.1964092254638672,1.1964092254638672,0.008132696151733398,0.008132696151733398,0.005513747533162435,0.005513747533162435,0.657030890460175,-0.587682847772598,-0.587682847772598,1.0,-0.587682847772598,0.657030890460175
NeuralNetTorch_r71_Prune,57.0,0.21728126207987467,0.21728126207987467,0.00514070192972819,0.00514070192972819,0.004577239354451497,0.004577239354451497,0.6622690134781802,-0.5879436554806657,-0.5879436554806657,1.0,-0.5879436554806657,0.6622690134781802
XGBoost_r194_Prune,28.0,0.6314589182535807,0.6314589182535807,0.005165497461954753,0.005165497461954753,0.00245515505472819,0.00245515505472819,0.6679737525845354,-0.5880798127606025,-0.5880798127606025,1.0,-0.5880798127606024,0.6679737525845354
LightGBM_r135_Prune,65.0,0.6982847054799398,0.6982847054799398,0.0028596719106038413,0.0028596719106038413,0.0016652743021647136,0.0016652743021647136,0.6865188937650372,-0.5884510235288593,-0.5884510235288593,1.0,-0.5884510235288593,0.6865188937650372
LightGBM_Prune,2.0,1.1950701077779133,1.1950701077779133,0.0022658507029215493,0.0022658507029215493,0.0014798641204833984,0.0014798641204833984,0.6747217534622069,-0.5893123015143131,-0.5893123015143131,1.0,-0.5893123015143131,0.6747217534622069
NeuralNetTorch_r135_Prune,75.0,1.316452980041504,1.316452980041504,0.008595148722330729,0.008595148722330729,0.0056934356689453125,0.0056934356689453125,0.6322042799302442,-0.5927899748266348,-0.5927899748266348,1.0,-0.5927899748266348,0.6322042799302442
XGBoost_Prune,8.0,0.620253324508667,0.620253324508667,0.006570021311442058,0.006570021311442058,0.0024123191833496094,0.0024123191833496094,0.6761706226345742,-0.5937482448981903,-0.5937482448981903,1.0,-0.5937482448981903,0.6761706226345741
