Year,Team,Conf,Round,Wins,Conf Tourney,Region,Seed,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,Off_1,RankOff_1,Off_2,RankOff_2,Off_3,RankOff_3,Def_1,RankDef_1,Def_2,RankDef_2,Def_3,RankDef_3,R32_Actual,S16_Actual,E8_Actual,F4_Actual,NCG_Actual,Winner_Actual,First_Year
2006,Winthrop,Big South,1,23,1,South,15,65.9172,213,63.8967,219,108.87,40,104.292,143,91.8236,17,94.6273,40,9.66427,80,20.5153,150,46.5649,295,32.9198,52,20.271,167,47.8826,287,31.8464,49,0.0,0.0,0.0,0.0,0.0,0.0,1
2007,North Carolina,ACC,4,28,1,South,1,74.1408,10,71.8899,8,115.96,2,120.45,3,91.7164,10,88.7132,2,31.7371,1,20.5341,156,59.6685,13,19.7974,327,16.4877,309,54.2945,69,29.2178,143,1.0,1.0,0.75,0.0,0.0,0.0,0
2007,Eastern Kentucky,OVC,1,21,1,South,16,61.629,316,60.6506,310,104.493,126,102.437,192,101.469,150,105.239,180,-2.80238,188,15.0123,333,47.8025,256,37.1852,21,15.2687,327,52.0342,135,32.6971,49,0.0,0.0,0.0,0.0,0.0,0.0,0
2007,Marquette,Big East,1,24,0,South,8,67.8635,121,67.4391,84,106.471,88,112.208,54,95.3874,37,94.3579,25,17.8501,32,21.2928,113,51.4575,170,27.2497,192,22.5596,76,51.3779,161,26.0626,248,0.75,0.0,0.0,0.0,0.0,0.0,0
2007,Michigan State,Big Ten,2,22,0,South,9,60.867,322,60.1869,318,107.023,82,112.195,56,93.3487,16,91.4261,12,20.769,16,21.1775,116,54.833,78,23.9895,269,22.3888,78,45.977,306,31.6342,69,0.25,0.0,0.0,0.0,0.0,0.0,0
2007,USC,Pac-10,3,23,0,South,5,67.3433,147,66.6094,110,104.456,128,109.896,84,94.9532,32,95.4932,38,14.4031,51,20.9714,130,55.6476,62,23.381,284,19.3949,204,49.8964,212,30.7087,96,0.5,0.25,0.0,0.0,0.0,0.0,0
2007,Arkansas,SEC,1,21,0,South,12,67.7123,128,65.8864,138,105.125,115,110.253,78,96.9826,63,93.3649,21,16.8885,39,20.6273,154,53.7998,108,25.573,234,18.7797,230,52.0121,137,29.2081,145,0.5,0.0,0.0,0.0,0.0,0.0,0
2007,Texas,Big 12,2,24,0,South,4,69.6531,73,66.9647,99,114.529,9,120.376,4,100.24,122,99.8398,87,20.5363,19,21.8881,88,45.8042,288,32.3077,79,17.689,276,48.5952,250,33.7159,33,0.75,0.5,0.25,0.25,0.0,0.0,0
2007,New Mexico State,WAC,1,25,1,South,13,72.2253,25,69.3769,37,107.256,78,108.471,100,99.6464,109,100.934,101,7.5367,95,24.1379,23,53.0564,131,22.8056,294,21.7938,98,50.7963,179,27.4099,202,0.25,0.25,0.0,0.0,0.0,0.0,0
2007,Vanderbilt,SEC,3,20,0,South,6,68.3679,103,66.2076,124,109.55,41,114.982,30,103.142,190,101.303,112,13.6783,59,18.2183,257,44.9438,298,36.8379,23,17.9124,270,51.2887,166,30.799,91,0.5,0.25,0.0,0.0,0.0,0.0,0
2007,George Washington,A-10,1,23,1,South,11,66.9214,164,66.4415,115,106.205,95,106.11,139,96.0555,46,97.4405,56,8.66941,85,19.0476,229,58.1219,24,22.8304,293,22.6899,71,46.5409,303,30.7692,93,0.5,0.25,0.25,0.25,0.0,0.0,0
2007,Washington State,Pac-10,2,25,0,South,3,61.5302,318,59.623,320,106.007,101,111.012,69,94.2566,21,93.1182,18,17.8933,31,18.6978,245,55.4333,67,25.8689,223,19.9605,180,50.0988,201,29.9407,120,0.75,0.5,0.25,0.25,0.25,0.25,0
2007,Oral Roberts,Mid-Cont,1,23,1,South,14,67.0479,160,66.0598,129,106.366,91,107.181,118,96.9915,64,98.146,61,9.03458,83,24.1379,23,50.5747,193,25.2874,243,19.6305,193,55.7044,41,24.6651,283,0.25,0.0,0.0,0.0,0.0,0.0,0
2007,Boston College,ACC,2,20,0,South,7,66.2981,197,63.8331,223,111.818,24,117.0,14,104.649,221,101.094,107,15.9057,43,23.3592,37,52.6702,141,23.9706,272,14.8068,333,60.7034,3,24.4898,290,0.5,0.5,0.0,0.0,0.0,0.0,0
2007,Texas Tech,Big 12,1,21,0,South,10,66.5239,185,64.2774,206,106.45,89,111.978,61,102.632,177,100.346,95,11.6325,68,22.3636,71,52.0312,156,25.6053,231,16.3474,313,55.6833,42,27.9693,187,0.5,0.0,0.0,0.0,0.0,0.0,0
2007,Georgetown,Big East,5,26,1,South,2,59.6996,328,59.1413,326,115.392,5,121.238,1,95.4232,38,93.1473,19,28.0911,5,18.5519,250,53.8552,105,27.593,183,20.5499,151,48.5555,251,30.8947,90,1.0,0.5,0.5,0.25,0.25,0.0,0
2007,Belmont,A-Sun,1,23,1,South,15,67.1629,154,65.4936,158,107.431,74,106.429,135,94.8707,29,101.758,122,4.67153,120,16.8184,313,46.6407,273,36.541,26,22.6133,73,54.0984,75,23.2883,306,0.0,0.0,0.0,0.0,0.0,0.0,0
2007,Kansas,Big 12,4,30,1,East,1,69.5468,78,68.0793,66,111.497,26,115.098,29,86.5831,1,86.837,1,28.2605,4,17.9651,273,58.7643,18,23.2707,287,20.7765,139,47.3549,286,31.8686,61,1.0,1.0,0.75,0.0,0.0,0.0,0
2007,Niagara,MAAC,1,23,1,East,16,69.075,90,67.5343,79,108.656,51,107.414,111,105.516,247,110.105,277,-2.69168,186,22.6827,58,46.3451,280,30.9721,108,16.7497,303,57.0333,20,26.2169,245,0.0,0.0,0.0,0.0,0.0,0.0,0
2007,Kentucky,SEC,2,21,0,East,8,67.7651,127,65.7553,143,107.8,64,115.724,25,98.6953,89,94.7893,27,20.9347,15,19.4311,207,52.8045,136,27.7644,178,15.9861,320,50.6516,185,33.3623,36,0.75,0.0,0.0,0.0,0.0,0.0,0
